Image,Title,Address
https://media.npr.org/assets/img/2019/04/11/financialaid-promo_wide-52da6d4ecd0e3e94a3414b50e608924a6f68ec45-s1400-c100.jpg,A Guide For Navigating College Financial Aid : NPR,https://www.npr.org/2019/04/11/709528694/how-to-calculate-the-cost-of-college-a-guide-to-financial-aid-terms
https://www.fresnobee.com/opinion/readers-opinion/igs8je/picture122250139/alternates/LANDSCAPE_1140/IMG_studentcupboard_0822_7_1_AK93IVIJ_L250609370,"CA housing crisis bill aims to help homeless college students | The Sacramento Bee,twitter,email,phone",https://www.sacbee.com/news/politics-government/capitol-alert/article225294450.html
https://www.economist.com/img/b/1280/720/90/sites/default/files/20190420_SRP522.jpg,"Online tutoring works better than some might expect | The Economist,The Economist,The Economist,Search,Facebook,Instagram,Twitter,LinkedIn,YouTube,RSS",https://www.economist.com/special-report/2019/04/11/online-tutoring-works-better-than-some-might-expect
https://assets1.cbsnewsstatic.com/hub/i/r/2014/09/05/98bfb9b1-83fb-4cea-8504-b2935d4f259e/thumbnail/1200x630/82ce5c82abeec00896f7122c35c75e2e/college-admissions-2.jpg,"
    college admission: how to get off the waitlist? - CBS News",https://www.cbsnews.com/news/college-admission-how-to-get-off-the-wait-list/
,"'No Point in Applying': Why Poor Students Are Missing at Top Colleges - The Atlantic,The Atlantic",https://www.theatlantic.com/education/archive/2013/09/no-point-in-applying-why-poor-students-are-missing-at-top-colleges/279699/
https://static01.nyt.com/images/2019/09/19/opinion/paying-college-tuition-1568903705131/paying-college-tuition-1568903705131-facebookJumbo.jpg?year=2019&h=550&w=1050&s=f5ccafc9fd37a0de57588e5f43ad7b0cfcad9eb61d49f16043bdc931ab1eaf9f&k=ZQJBKqZ0VN,"Opinion | Is It Still Possible to Pay for College? - The New York Times,Asset 9",https://www.nytimes.com/interactive/2019/09/19/opinion/paying-college-tuition.html
https://static01.nyt.com/images/2019/09/22/business/20View-illo/20View-illo-facebookJumbo.jpg?year=2019&h=550&w=1050&s=6e073d8eef65e92e433660ae19b9effbddfb33de95551dc65261cbf5f9ddd405&k=ZQJBKqZ0VN,"In the Salary Race, Engineers Sprint but English Majors Endure - The New York Times",https://www.nytimes.com/2019/09/20/business/liberal-arts-stem-salaries.html
https://static01.nyt.com/images/2019/05/05/nyregion/05hunger1/05hunger1-facebookJumbo.jpg?year=2019&h=550&w=1050&s=2f1623aecd898c67602a3edfbd31354c7aed68a234e404d69088f982b0a39d70&k=ZQJBKqZ0VN,Tuition or Dinner? Nearly Half of  College Students Surveyed in a New Report Are Going Hungry - The New York Times,https://www.nytimes.com/2019/05/02/nyregion/hunger-college-food-insecurity.html?action=click&module=News&pgtype=Homepage
https://static01.nyt.com/images/2019/04/13/us/politics/00summit-new5/00summit-new5-facebookJumbo.jpg?year=2019&h=550&w=1050&s=0559db89ac8fc95ce11ea58561f13a17224e228841e062929a1a5fd99bfa01d9&k=ZQJBKqZ0VN,Silicon Valley Came to Kansas Schools. That Started a Rebellion. - The New York Times,https://www.nytimes.com/2019/04/21/technology/silicon-valley-kansas-schools.html
"https://www.gannett-cdn.com/presto/2022/10/19/USAT/3c4a0e4f-72a8-4d52-b964-71f10d3dc0a5-GettyImages-184119773.jpg?crop=2999,1687,x0,y152&width=2999&height=1687&format=pjpg&auto=webp",Supreme Court could change how college admissions consider race,https://www.usatoday.com/story/news/politics/2022/10/19/supreme-court-affirmative-action-college-admissions/10545682002/
