cm,15th
45,2.2
45.5,2.3
46,2.4
46.5,2.5
47,2.5
47.5,2.6
48,2.7
48.5,2.8
49,2.9
49.5,2.9
50,3
50.5,3.1
51,3.2
51.5,3.3
52,3.4
52.5,3.6
53,3.7
53.5,3.8
54,3.9
54.5,4
55,4.2
55.5,4.3
56,4.4
56.5,4.6
57,4.7
57.5,4.8
58,5
58.5,5.1
59,5.2
59.5,5.4
cm,15th
60,5.5
60.5,5.6
61,5.8
61.5,5.9
62,6
62.5,6.1
63,6.2
63.5,6.3
64,6.5
64.5,6.6
65,6.7
65.5,6.8
66,6.9
66.5,7
67,7.1
67.5,7.2
68,7.3
68.5,7.4
69,7.5
69.5,7.6
70,7.7
70.5,7.8
71,8
71.5,8.1
72,8.2
72.5,8.3
73,8.4
73.5,8.4
74,8.5
74.5,8.6
75,8.7
cm,15th
75.5,8.8
76,8.9
76.5,9
77,9.1
77.5,9.2
78,9.3
78.5,9.3
79,9.4
79.5,9.5
80,9.6
80.5,9.7
81,9.8
81.5,9.9
82,10
82.5,10.1
83,10.1
83.5,10.3
84,10.4
84.5,10.5
85,10.6
85.5,10.7
86,10.8
86.5,10.9
87,11
87.5,11.2
88,11.3
88.5,11.4
89,11.5
89.5,11.6
90,11.7
90.5,11.8
cm,15th
91,11.9
91.5,12
92,12.2
92.5,12.3
93,12.4
93.5,12.5
94,12.6
94.5,12.7
95,12.8
95.5,12.9
96,13
96.5,13.1
97,13.2
97.5,13.4
98,13.5
98.5,13.6
99,13.7
99.5,13.8
100,13.9
100.5,14.1
101,14.2
101.5,14.3
102,14.5
102.5,14.6
103,14.7
103.5,14.8
104,15
104.5,15.1
105,15.3
105.5,15.4
106,15.5
cm,15th
106.5,15.7
107,15.8
107.5,16
108,16.1
108.5,16.3
109,16.4
109.5,16.6
110,16.7
